date,platform,format,compound,hook,post_url,views_7d,hold_3s_pct,completion_pct,saves,shares,comments,follows
2026-08-10,Instagram,Stack reality check,BPC-157 + TB-500,The “healing stack” everyone repeats?,OneUp scheduled post 51020253 (2026-08-10 12:30 UK),,,,,,,
2026-08-10,YouTube,Stack reality check,BPC-157 + TB-500,The “healing stack” everyone repeats?,OneUp scheduled post 51020254 (2026-08-10 12:30 UK),,,,,,,
2026-08-10,X,Stack reality check,BPC-157 + TB-500,The “healing stack” everyone repeats?,OneUp scheduled post 51020255 (2026-08-10 12:30 UK),,,,,,,
2026-08-09,TikTok,Direct buzzword check,Document literacy,“Pharma grade” in the bio?,OneUp scheduled post 51020726 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,Instagram,Direct buzzword check,Document literacy,“Pharma grade” in the bio?,OneUp scheduled post 51020727 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,YouTube,Direct buzzword check,Document literacy,“Pharma grade” in the bio?,OneUp scheduled post 51020728 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,X,Direct buzzword check,Document literacy,“Pharma grade” in the bio?,OneUp scheduled post 51020729 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,TikTok,Stack reality check,BPC-157 + TB-500,Peptide TikTok: “stack it.”,OneUp scheduled post 51020730 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,Instagram,Stack reality check,BPC-157 + TB-500,Peptide TikTok: “stack it.”,OneUp scheduled post 51020731 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,YouTube,Stack reality check,BPC-157 + TB-500,Peptide TikTok: “stack it.”,OneUp scheduled post 51020732 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,X,Stack reality check,BPC-157 + TB-500,Peptide TikTok: “stack it.”,OneUp scheduled post 51020733 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,TikTok,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp failed post 51021402 — expired preview host,,,,,,,
2026-08-09,Instagram,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp failed post 51021403 — expired preview host,,,,,,,
2026-08-09,YouTube,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp failed post 51021405 — expired preview host,,,,,,,
2026-08-09,X,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp failed post 51021406 — expired preview host,,,,,,,
2026-08-10,TikTok,Animated basket story,BPC-157 + TB-500 + GHK-Cu + KLOW Stack + Retatrutide,POV: you only came for one vial,OneUp scheduled post 51048796 (2026-08-10 12:30 UK; durable host),,,,,,,
2026-08-10,Instagram,Animated basket story,BPC-157 + TB-500 + GHK-Cu + KLOW Stack + Retatrutide,POV: you only came for one vial,OneUp scheduled post 51048797 (2026-08-10 12:30 UK; durable host),,,,,,,
2026-08-10,YouTube,Animated basket story,BPC-157 + TB-500 + GHK-Cu + KLOW Stack + Retatrutide,POV: you only came for one vial,OneUp scheduled post 51048798 (2026-08-10 12:30 UK; durable host),,,,,,,
2026-08-10,X,Animated basket story,BPC-157 + TB-500 + GHK-Cu + KLOW Stack + Retatrutide,POV: you only came for one vial,OneUp scheduled post 51048800 (2026-08-10 12:30 UK; durable host),,,,,,,
2026-08-10,TikTok,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp published post 51048792 (2026-08-10 07:45 UK; durable host),,,,,,,
2026-08-10,Instagram,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp published post 51048793 (2026-08-10 07:45 UK; durable host),,,,,,,
2026-08-10,YouTube,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp published post 51048794 (2026-08-10 07:45 UK; durable host),,,,,,,
2026-08-10,X,Animated gym-chat meme,BPC-157,Say “BPC-157” in the gym chat…,OneUp published post 51048795 (2026-08-10 07:45 UK; durable host),,,,,,,
